TRUCK#,DESCRIPTION,UPC#,hs code,QTY, RETAIL , EXTENDED RETAIL , COST ,#PALLETS,Country of Origin
16238960,1/2 - SORIA HEADBOARD+FB - Q WALNUT/GREY SPRING 900-1 FAB,,9403500090,1, $ 434.99 , $ 434.99 , $ 63.07 ,17,TAIWAN
16238960,"49"" Console Table",5045610582442,9403601099,1, $ 749.99 , $ 749.99 , $ 108.75 ,17,CHINA
16238960,Aaralyn Armchair,195971559432,9401611010,1, $ 846.00 , $ 846.00 , $ 122.67 ,17,CHINA
16238960,"Adreille 29.5"" Dining Table",196678753727,9403601092,1," $ 1,379.99 "," $ 1,379.99 ", $ 200.10 ,17,U.S.A.
16238960,Affinity Side Chair in Gray,793532397761,9401611010,2, $ 459.99 , $ 919.98 , $ 133.40 ,17,CHINA
16238960,Aidan Upholstered Platform Bed Frame,5045646070630,9403200099,1, $ 175.49 , $ 175.49 , $ 25.45 ,17,VIETNAM
16238960,"Alsup 48"" Single Bathroom Vanity",196422283098,9405190091,1," $ 1,439.99 "," $ 1,439.99 ", $ 208.80 ,17,U.S.A.
16238960,"Andover 37"" Wide Power Lift Assist Standard Recliner",5045648425964,9019100010,1," $ 1,539.99 "," $ 1,539.99 ", $ 223.30 ,17,U.S.A.
16238960,"Anya Diagonal 9"" x 9"" Porcelain Field Tile",,6907212100,13, $ 102.11 ," $ 1,327.43 ", $ 192.48 ,17,U.S.A.
16238960,Audio Upholstery 3 Piece Coffee Table Set,192437707987,9403601092,1, $ 539.99 , $ 539.99 , $ 78.30 ,17,CHINA
16238960,Barium Low Profile Platform Bed,841550109016,9403200099,1, $ 349.99 , $ 349.99 , $ 50.75 ,17,VIETNAM
16238960,Beauvais Panel Headboard,190222642680,9403500090,1, $ 559.99 , $ 559.99 , $ 81.20 ,17,CHINA
16238960,Bed Rails/Bedpost/Attached Ladder/Hardware/Attached Ladder,,9403500020,3, $ 419.99 ," $ 1,259.97 ", $ 182.70 ,17,TAIWAN
16238960,"Beverly 62"" Recessed Arm Loveseat with Reversible Cushions",196422698366,9401611090,1, $ 569.99 , $ 569.99 , $ 82.65 ,17,CHINA
16238960,"Bliss 0.6"" x 0.6"" Ceramic Honeycomb Mosaic Wall & Floor Tile",841497107236,6908100000,3, $ 10.89 , $ 32.67 , $ 4.74 ,17,VIETNAM
16238960,"Byanca 40"" Wide Polyester Armchair",192027991758,9401611010,1," $ 1,169.99 "," $ 1,169.99 ", $ 169.65 ,17,CHINA
16238960,Camaflexi - Twin Size - Bed Trundle/Full Modesty Panels,,9403910090,5, $ 209.99 ," $ 1,049.95 ", $ 152.24 ,17,CHINA
16238960,Camaflexi Full Tall/Low Headboards/Slats - Panel Style,,9403500090,1, $ 359.99 , $ 359.99 , $ 52.20 ,17,CHINA
16238960,"Campbell 30"" Patio Bar Stool",192416916287,9401611090,1," $ 1,670.00 "," $ 1,670.00 ", $ 242.15 ,17,U.S.A.
16238960,Castelli Swivel Patio Chair with Cushions,192452490611,9401611010,1," $ 1,499.99 "," $ 1,499.99 ", $ 217.50 ,17,U.S.A.
16238960,"Chelsea 40"" Symmetrical Sectional Corner Chair",,9401611010,1, $ 549.99 , $ 549.99 , $ 79.75 ,17,CHINA
16238960,"Dotography 29"" Wide Armchair",846823087732,9401611010,1," $ 3,795.00 "," $ 3,795.00 ", $ 550.28 ,17,U.S.A.
16238960,"Dotography 29"" Wide Armchair",846823087732,9401611010,1," $ 3,795.00 "," $ 3,795.00 ", $ 550.28 ,17,U.S.A.
16238960,Double Pedestal Dining Table Base,5045641624838,9403601091,1, $ 157.99 , $ 157.99 , $ 22.91 ,17,CANADA
16238960,"Everett 25"" Single Bathroom Vanity Set",196026582290,9405190091,1," $ 1,459.99 "," $ 1,459.99 ", $ 211.70 ,17,U.S.A.
16238960,Finck 3 Piece Living Room Set,7449681887440,9403200091,1," $ 1,299.99 "," $ 1,299.99 ", $ 188.50 ,17,U.S.A.
16238960,Findley 51'' Reversible Sectional,,9401619000,1, $ 809.99 , $ 809.99 , $ 117.45 ,17,CHINA
16238960,Findley Dining Table Base,788093254608,9403601091,1, $ 539.99 , $ 539.99 , $ 78.30 ,17,CHINA
16238960,"Freese Matte Black 1 - Bulb 12"" H Outdoor Wall Lantern",5045630731325,9405190091,1, $ 121.73 , $ 121.73 , $ 17.65 ,17,VIETNAM
16238960,Giavanna 3 Piece Sofa Seating Group,194354638733,9401611090,1, $ 349.99 , $ 349.99 , $ 50.75 ,17,CHINA
16238960,Jayce Cross Legs Coffee Table,819193013120,9403601092,1," $ 1,050.00 "," $ 1,050.00 ", $ 152.25 ,17,CHINA
16238960,"Jessamine 63"" W Desk Base",195388043616,9403601091,1, $ 419.99 , $ 419.99 , $ 60.90 ,17,BANGLADESH
16238960,"Karson 30"" Single Bathroom Vanity Set with Mirror",728028403411,9405190091,1, $ 629.99 , $ 629.99 , $ 91.35 ,17,CHINA
16238960,"Kila 51"" Wide Faux leather Square Cocktail Ottoman",196769483465,9401611010,1, $ 415.00 , $ 415.00 , $ 60.18 ,17,CHINA
16238960,Kinston Table Base,842081049758,9403601091,1, $ 419.99 , $ 419.99 , $ 60.90 ,17,VIETNAM
16238960,Kohler Santa Rosa Comfort Height One-Piece Compact Elongated 1.28 GPF Toilet with AquaPiston Flush Technology and Right-Hand Trip Lever,885612311085,6910101030,1, $ 482.37 , $ 482.37 , $ 69.94 ,17,VIETNAM
16238960,Left Pier,726692448103,9403601091,1, $ 749.99 , $ 749.99 , $ 108.75 ,17,CHINA
